,P,V,A,LV,D,TIPO,L,ES,ARG,CMD,LD,OPRD,CP,COND,CAB,R,CABR,CPR,EXP_R
0,1,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
2,,3,,,,,,,,,,,,,,,,,
3,,,19,,,,,20,,21,,,,22,28,23,29,,
4,,,,5,6,8,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,,,,12,6,8,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
8,,,,,,,14,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,
17,,,,,,,18,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,
20,,,32,,,,,20,,21,,,,22,28,23,29,,
21,,,33,,,,,20,,21,,,,22,28,23,29,,
22,,,34,,,,,20,,21,,,,22,28,23,29,,
23,,,76,,,,,20,,21,,,,22,28,23,29,,
24,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,37,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,
28,,,,,,,,51,,52,,,50,53,28,,,,
29,,,,,,,,,59,60,,,,61,28,,,58,
30,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,43,45,,,,,,,
43,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,47,,,,,,,
47,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,
51,,,,,,,,51,,52,,,55,53,28,,,,
52,,,,,,,,51,,52,,,56,53,28,,,,
53,,,,,,,,51,,52,,,57,53,28,,,,
54,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,
59,,,,,,,,59,,60,,,,61,28,,,63,
60,,,,,,,,59,,60,,,,61,28,,,64,
61,,,,,,,,59,,60,,,,61,28,,,65,
62,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,71,,,,,,,68
67,,,,,,,,,,,,71,,,,,,,72
68,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,74,,,,,,,
74,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
